Transaction,Amount,Time of Day,Location,Fraudulent
Purchase,11696,2,Gujarat,1
Purchase,2539,15,Gujarat,0
Purchase,2515,5,Coimbatore,0
Purchase,1294,1,Bangalore,0
Withdrawal,31501,19,Gujarat,1
Transfer,3815,11,Bangalore,0
Withdrawal,2802,23,Kashmir,0
Transfer,3721,4,Kashmir,0
Transfer,2947,18,Delhi,0
Purchase,4729,19,Delhi,0
Transfer,4700,11,Delhi,0
Transfer,4689,20,Gujarat,0
Transfer,3571,1,Delhi,0
Withdrawal,1401,0,Chennai,0
Purchase,17107,3,Delhi,1
Withdrawal,2519,23,Delhi,0
Transfer,41381,1,Kolkata,1
Transfer,3597,7,Coimbatore,0
Withdrawal,525,3,Kashmir,0
Transfer,2056,12,Kolkata,0
Purchase,1639,7,Coimbatore,0
Withdrawal,1172,5,Chennai,0
Withdrawal,2994,17,Delhi,0
Purchase,4521,5,Chennai,0
Purchase,3813,9,Thrissur,0
Purchase,252,13,Bangalore,0
Transfer,2541,14,Chennai,0
Purchase,3319,14,Kolkata,0
Withdrawal,4662,21,Chennai,0
Transfer,3884,12,Kashmir,0
Purchase,4250,7,Bangalore,0
Withdrawal,4493,3,Mumbai,0
Transfer,4430,20,Delhi,0
Purchase,2104,1,Chennai,0
Transfer,2124,4,Delhi,0
Purchase,1168,1,Chennai,1
Transfer,49912,2,Chennai,1
Purchase,11721,0,Gujarat,1
Purchase,1252,2,Chennai,0
Purchase,2247,20,Kashmir,0
Purchase,3104,17,Mumbai,0
Transfer,2128,20,Mumbai,0
Transfer,4636,10,Thrissur,0
Transfer,2247,13,Coimbatore,0
Transfer,4756,16,Chennai,0
Withdrawal,2427,23,Chennai,0
Withdrawal,2690,0,Bangalore,0
Transfer,990,3,Bangalore,0
Purchase,1367,3,Thrissur,0
Transfer,40042,14,Kolkata,1
Transfer,3832,16,Mumbai,0
Withdrawal,3417,10,Coimbatore,0
Purchase,4120,6,Mumbai,0
Transfer,4865,21,Bangalore,0
Purchase,4005,7,Chennai,0
Purchase,2008,5,Chennai,0
Withdrawal,1963,11,Kashmir,0
Withdrawal,4727,1,Thrissur,0
Transfer,2112,10,Mumbai,0
Withdrawal,966,11,Mumbai,0
Transfer,1165,15,Delhi,0
Transfer,1196,20,Kolkata,0
Withdrawal,40067,5,Chennai,1
Transfer,958,23,Thrissur,0
Transfer,1266,15,Coimbatore,0
Withdrawal,49478,3,Chennai,1
Purchase,2120,3,Bangalore,0
Withdrawal,2498,15,Coimbatore,0
Purchase,4349,19,Gujarat,0
Transfer,8192,1,Bangalore,1
Purchase,4512,22,Chennai,0
Withdrawal,1178,2,Mumbai,0
Purchase,97,22,Mumbai,0
Purchase,4666,11,Chennai,0
Transfer,461,12,Kolkata,0
Withdrawal,3711,1,Coimbatore,0
Withdrawal,24936,23,Bangalore,1
Transfer,1386,3,Gujarat,0
Transfer,31089,5,Chennai,1
Transfer,4223,18,Kolkata,0
Transfer,3733,12,Coimbatore,0
Withdrawal,29577,4,Gujarat,1
Transfer,2596,20,Mumbai,0
Transfer,3173,1,Gujarat,0
Withdrawal,1941,2,Mumbai,0
Transfer,956,7,Kolkata,0
Purchase,1423,21,Chennai,0
Purchase,135,22,Kolkata,0
Transfer,18643,12,Mumbai,1
Withdrawal,4227,2,Gujarat,0
Transfer,3132,3,Kolkata,0
Transfer,2656,14,Coimbatore,0
Transfer,2359,16,Coimbatore,0
Withdrawal,3624,5,Mumbai,0
Transfer,6586,2,Delhi,1
Transfer,1852,20,Kolkata,0
Transfer,4516,10,Coimbatore,0
Purchase,687,23,Gujarat,0
Purchase,978,17,Thrissur,0
Transfer,329,1,Gujarat,0
Transfer,529,6,Kolkata,0
Transfer,375,8,Gujarat,0
Transfer,1391,19,Thrissur,0
Withdrawal,1094,7,Chennai,0
Transfer,3898,6,Mumbai,0
